186,,"Hamza Choudhury Leicester, 21, M(C)",2,134,-,-,-,-,1,83.8,0.5,-,6.49
187,,"Harry Winks Tottenham, 23, DMC",2,120,-,-,-,-,0.5,94.6,-,-,6.49
188,,"David Silva Manchester City, 33, M(CLR)",1(1),92,-,-,-,-,0.5,81.0,-,-,6.47
189,,"Max Meyer Crystal Palace, 23, M(CL),FW",2,155,-,-,1,-,1.5,63.2,1,-,6.47
190,,"James McCarthy Crystal Palace, 28, M(C)",0(1),20,-,-,1,-,-,64.3,1,-,6.46
191,,"Jürgen Locadia Brighton, 25, AM(LR),FW",1,64,-,-,-,-,1,60.0,-,-,6.46
192,,"Paul Dummett Newcastle United, 27, D(CL)",2,180,-,-,1,-,0.5,81.0,0.5,-,6.46
193,,"Adam Smith Bournemouth, 28, D(LR),M(R)",2,180,-,-,1,-,-,76.4,1,-,6.45
194,,"Mateo Kovacic Chelsea, 25, M(CL)",1(1),109,-,-,-,-,-,89.0,-,-,6.45
195,,"Olivier Giroud Chelsea, 32, FW",1(1),85,-,-,-,-,0.5,76.0,2.5,-,6.44
196,,"Craig Cathcart Watford, 30, D(CR)",2,180,-,-,-,-,-,82.6,3,-,6.43
197,,"Luke Freeman Sheffield United, 27, AM(CLR)",0(2),73,-,-,1,-,0.5,82.1,0.5,-,6.43
198,,"Mason Holgate Everton, 22, D(CR),M(R)",0(1),17,-,-,-,-,-,42.9,1,-,6.42
199,,"Sean Longstaff Newcastle United, 21, M(C)",1(1),83,-,1,1,-,-,77.8,1,-,6.42
200,,"Andreas Christensen Chelsea, 23, D(C),DMC",2,180,-,-,-,-,-,86.8,1.5,-,6.42
201,,"Glenn Murray Brighton, 35, FW",2,138,-,-,-,-,0.5,69.6,3,-,6.42
202,,"Ashley Westwood Burnley, 29, DMC",2,180,-,-,-,-,0.5,64.9,0.5,-,6.41
203,,"Luka Milivojevic Crystal Palace, 28, DMC",2,180,-,-,1,-,0.5,74.5,3,-,6.41
204,,"Ryan Fredericks West Ham, 26, D(R),M(R)",2,180,-,-,-,-,-,78.3,3,-,6.41
205,,"Declan Rice West Ham, 20, D(C),DMC",2,180,-,-,1,-,0.5,82.1,1,-,6.4
206,,"Douglas Luiz Aston Villa, 21, M(C)",1(1),98,1,-,-,-,1,92.1,0.5,-,6.4
207,,"Neil Taylor Aston Villa, 30, D(L),M(L)",2,180,-,-,-,-,1,83.1,-,-,6.4
208,,"Ilkay Gündogan Manchester City, 28, M(C)",1(1),101,-,-,-,-,1,85.3,-,-,6.38
209,,"James Milner Liverpool, 33, D(LR),M(CLR)",1(1),78,-,1,-,-,2,85.5,1.5,-,6.37
210,,"Oriol Romeu Southampton, 27, DMC",2,154,-,-,1,-,1,67.1,0.5,-,6.36
211,,"Callum Robinson Sheffield United, 24, AM(CLR),FW",2,146,-,-,-,-,2,84.0,0.5,-,6.36
212,,"Lukasz Fabianski West Ham, 34, GK",2,180,-,-,-,-,-,37.1,-,-,6.36
213,,"Yan Valery Southampton, 20, D(R),M(R)",2,180,-,-,-,-,0.5,59.6,1.5,-,6.36
214,,"Etienne Capoue Watford, 31, D(C),M(CL)",2,173,-,-,1,-,1.5,86.7,-,-,6.35
215,,"Nathan Redmond Southampton, 25, AM(CLR),FW",2,180,-,-,-,-,2,71.9,0.5,-,6.35
216,,"Harvey Barnes Leicester, 21, AM(CL)",0(1),29,-,-,-,-,1,75.0,-,-,6.34
217,,"Phil Jagielka Sheffield United, 37, D(CR)",0(1),1,-,-,-,-,-,100.0,-,-,6.34
218,,"Christian Pulisic Chelsea, 20, M(CLR)",1(1),103,-,-,-,-,0.5,90.9,1,-,6.34
219,,"Romain Saïss Wolverhampton Wanderers, 29, D(C),DMC",0(1),9,-,-,-,-,-,71.4,2,-,6.33
220,,"Ryan Fraser Bournemouth, 25, M(CLR)",2,180,-,-,1,-,1.5,93.9,-,-,6.33
221,,"Danny Rose Tottenham, 29, D(L),M(L)",2,180,-,-,-,-,-,85.6,1.5,-,6.33
222,,"Allan Saint-Maximin Newcastle United, 22, AM(CLR),FW",0(1),23,-,-,-,-,1,100.0,-,-,6.32
223,,"Dennis Praet Leicester, 25, AM(C)",0(1),17,-,-,-,-,-,66.7,-,-,6.32
224,,"John Fleck Sheffield United, 27, M(C)",2,119,-,-,1,-,0.5,83.0,0.5,-,6.32
225,,"Diogo Jota Wolverhampton Wanderers, 22, AM(CL),FW",2,162,-,-,-,-,1.5,81.3,-,-,6.32
226,,"Martin Dubravka Newcastle United, 30, GK",2,180,-,-,-,-,-,62.2,-,-,6.32
